date,feature_index,NO2
2021-10-11 00:00:00+00:00,0,3.151055352645926e-05
2021-10-12 00:00:00+00:00,0,1.9697539755725305e-05
2021-10-13 00:00:00+00:00,0,2.789448990370147e-05
2021-10-14 00:00:00+00:00,0,2.735600901360158e-05
2021-10-15 00:00:00+00:00,0,
2021-10-16 00:00:00+00:00,0,2.064964428427629e-05
2021-10-17 00:00:00+00:00,0,
2021-10-18 00:00:00+00:00,0,
2021-10-19 00:00:00+00:00,0,
2021-10-20 00:00:00+00:00,0,2.7866359232575636e-05
2021-10-21 00:00:00+00:00,0,2.7788135412265547e-05
2021-10-22 00:00:00+00:00,0,
2021-10-23 00:00:00+00:00,0,
2021-10-24 00:00:00+00:00,0,4.6209333959268406e-05
2021-10-25 00:00:00+00:00,0,7.301797450054437e-05
2021-10-26 00:00:00+00:00,0,
2021-10-27 00:00:00+00:00,0,
2021-10-28 00:00:00+00:00,0,
2021-10-29 00:00:00+00:00,0,7.285427273018286e-05
2021-10-30 00:00:00+00:00,0,
2021-10-31 00:00:00+00:00,0,
2021-11-01 00:00:00+00:00,0,
2021-11-02 00:00:00+00:00,0,
2021-11-03 00:00:00+00:00,0,
2021-11-04 00:00:00+00:00,0,
2021-11-05 00:00:00+00:00,0,
2021-11-06 00:00:00+00:00,0,
2021-11-07 00:00:00+00:00,0,
2021-11-08 00:00:00+00:00,0,
2021-11-09 00:00:00+00:00,0,
2021-11-10 00:00:00+00:00,0,
2021-11-11 00:00:00+00:00,0,
2021-11-12 00:00:00+00:00,0,
2021-11-13 00:00:00+00:00,0,
2021-11-14 00:00:00+00:00,0,8.180025906767696e-05
2021-11-15 00:00:00+00:00,0,
2021-11-16 00:00:00+00:00,0,
2021-11-17 00:00:00+00:00,0,
2021-11-18 00:00:00+00:00,0,
2021-11-19 00:00:00+00:00,0,
2021-11-20 00:00:00+00:00,0,
2021-11-21 00:00:00+00:00,0,1.3909064364270309e-05
2021-11-22 00:00:00+00:00,0,3.602552169468254e-05
2021-11-23 00:00:00+00:00,0,5.523268555407413e-05
2021-11-24 00:00:00+00:00,0,
2021-11-25 00:00:00+00:00,0,
2021-11-26 00:00:00+00:00,0,
2021-11-27 00:00:00+00:00,0,
2021-11-28 00:00:00+00:00,0,
2021-11-29 00:00:00+00:00,0,
2021-11-30 00:00:00+00:00,0,6.472969835158437e-05
2021-12-01 00:00:00+00:00,0,
2021-12-02 00:00:00+00:00,0,
2021-12-03 00:00:00+00:00,0,
2021-12-04 00:00:00+00:00,0,
2021-12-05 00:00:00+00:00,0,
2021-12-06 00:00:00+00:00,0,
2021-12-07 00:00:00+00:00,0,
2021-12-08 00:00:00+00:00,0,
2021-12-09 00:00:00+00:00,0,0.0001224856823682785
2021-12-10 00:00:00+00:00,0,
2021-12-11 00:00:00+00:00,0,
2021-12-12 00:00:00+00:00,0,9.84858997981064e-05
2021-12-13 00:00:00+00:00,0,7.422326598316431e-05
2021-12-14 00:00:00+00:00,0,
2021-12-15 00:00:00+00:00,0,
2021-12-16 00:00:00+00:00,0,
2021-12-17 00:00:00+00:00,0,
2021-12-18 00:00:00+00:00,0,
2021-12-19 00:00:00+00:00,0,
2021-12-20 00:00:00+00:00,0,
2021-12-21 00:00:00+00:00,0,
2021-12-22 00:00:00+00:00,0,3.402048605494201e-05
2021-12-23 00:00:00+00:00,0,2.522343675082084e-05
2021-12-24 00:00:00+00:00,0,5.628368307952769e-05
2021-12-25 00:00:00+00:00,0,
2021-12-26 00:00:00+00:00,0,
2021-12-27 00:00:00+00:00,0,
2021-12-28 00:00:00+00:00,0,4.341908424976282e-05
2021-12-29 00:00:00+00:00,0,
2021-12-30 00:00:00+00:00,0,
2021-12-31 00:00:00+00:00,0,
2022-01-01 00:00:00+00:00,0,
2022-01-02 00:00:00+00:00,0,4.699118289863691e-05
2022-01-03 00:00:00+00:00,0,
2022-01-04 00:00:00+00:00,0,
2022-01-05 00:00:00+00:00,0,
2022-01-06 00:00:00+00:00,0,
2022-01-07 00:00:00+00:00,0,
2022-01-08 00:00:00+00:00,0,
2022-01-09 00:00:00+00:00,0,
2022-01-10 00:00:00+00:00,0,4.426442683325149e-05
2022-01-11 00:00:00+00:00,0,
2022-01-12 00:00:00+00:00,0,
2022-01-13 00:00:00+00:00,0,
